birthorder,invention,lifemovie,holiday,dreams,era,cloud,food,Music
Youngest,Technology,Drama,Nature,no,Singularity,No,Salty,Beat
Oldest,Entertainment,Comedy,Nature,Sometimes,Now,No,Spicy,Melody
Oldest,Health,Comedy,Activity,Yes,Singularity,Yes,Umami,BASS
Oldest,Technology,Comedy,Nature,Sometimes,Now,No,Umami,Beat
Oldest,Technology,Comedy,City,Sometimes,Now,No,Umami,Beat
Middle,Technology,Drama,Activity,Sometimes,now,No,Umami,Melody
Middle,Technology,Sci Fi,Nature,Sometimes,Singularity,Yes,Salty,Beat
Oldest,Entertainment,Action,Nature,Yes,Now,No,Salty,Beat
Youngest,Technology,Comedy,History/Culture,Sometimes,Victorian,Yes,Salty,Melody
Oldest,Technology,Comedy,Nature,Sometimes,now,No,Umami,Melody
Youngest,Technology,Comedy,History/Culture,Yes,singularity,No,Spicy,Melody
Youngest,Health,Drama,Beach,Sometimes,Now,Yes,Umami,BASS
Youngest,Entertainment,Drama,Beach,Yes,Now,Yes,Spicy,Lyrics
Oldest,Technology,Comedy,History/Culture,Yes,singularity,No,Umami,Melody
